topo,A,B,maxbond,bytes
QTT_Int,1.0,5.0,15,223888.0
QTT_Int,1.0,5.0,18,223888.0
QTT_Int,1.0,5.0,21,223888.0
QTT_Int,1.0,5.0,24,223888.0
QTT_Int,1.0,5.0,27,223888.0
QTT_Int,1.0,5.0,30,223888.0
QTT_Int,1.0,10.0,3,208912.0
QTT_Int,1.0,10.0,6,223888.0
QTT_Int,1.0,10.0,9,223888.0
QTT_Int,1.0,10.0,12,223888.0
QTT_Int,1.0,10.0,15,223888.0
QTT_Int,1.0,10.0,18,223888.0
QTT_Int,1.0,10.0,21,223888.0
QTT_Int,1.0,10.0,24,223888.0
QTT_Int,1.0,10.0,27,223888.0
QTT_Int,1.0,10.0,30,223888.0
QTT_Int,5.0,0.5,3,208912.0
QTT_Int,5.0,0.5,6,223888.0
QTT_Int,5.0,0.5,9,223888.0
QTT_Int,5.0,0.5,12,223888.0
QTT_Int,5.0,0.5,15,223888.0
QTT_Int,5.0,0.5,18,223888.0
QTT_Int,5.0,0.5,21,223888.0
QTT_Int,5.0,0.5,24,223888.0
QTT_Int,5.0,0.5,27,223888.0
QTT_Int,5.0,0.5,30,223888.0
QTT_Int,5.0,2.0,3,208912.0
QTT_Int,5.0,2.0,6,223888.0
QTT_Int,5.0,2.0,9,223888.0
QTT_Int,5.0,2.0,12,223888.0
QTT_Int,5.0,2.0,15,223888.0
QTT_Int,5.0,2.0,18,223888.0
QTT_Int,5.0,2.0,21,223888.0
QTT_Int,5.0,2.0,24,223888.0
QTT_Int,5.0,2.0,27,223888.0
QTT_Int,5.0,2.0,30,223888.0
QTT_Int,5.0,5.0,3,208912.0
QTT_Int,5.0,5.0,6,223888.0
QTT_Int,5.0,5.0,9,223888.0
QTT_Int,5.0,5.0,12,223888.0
QTT_Int,5.0,5.0,15,223888.0
QTT_Int,5.0,5.0,18,223888.0
QTT_Int,5.0,5.0,21,223888.0
QTT_Int,5.0,5.0,24,223888.0
QTT_Int,5.0,5.0,27,223888.0
QTT_Int,5.0,5.0,30,223888.0
QTT_Int,5.0,10.0,3,208912.0
QTT_Int,5.0,10.0,6,223888.0
QTT_Int,5.0,10.0,9,223888.0
QTT_Int,5.0,10.0,12,223888.0
QTT_Int,5.0,10.0,15,223888.0
QTT_Int,5.0,10.0,18,223888.0
QTT_Int,5.0,10.0,21,223888.0
QTT_Int,5.0,10.0,24,223888.0
QTT_Int,5.0,10.0,27,223888.0
QTT_Int,5.0,10.0,30,223888.0
QTT_Int,15.0,0.5,3,208912.0
QTT_Int,15.0,0.5,6,223888.0
QTT_Int,15.0,0.5,9,223888.0
QTT_Int,15.0,0.5,12,223888.0
QTT_Int,15.0,0.5,15,223888.0
QTT_Int,15.0,0.5,18,223888.0
QTT_Int,15.0,0.5,21,223888.0
QTT_Int,15.0,0.5,24,223888.0
QTT_Int,15.0,0.5,27,223888.0
QTT_Int,15.0,0.5,30,223888.0
QTT_Int,15.0,2.0,3,208912.0
QTT_Int,15.0,2.0,6,223888.0
QTT_Int,15.0,2.0,9,223888.0
QTT_Int,15.0,2.0,12,223888.0
QTT_Int,15.0,2.0,15,223888.0
QTT_Int,15.0,2.0,18,223888.0
QTT_Int,15.0,2.0,21,223888.0
QTT_Int,15.0,2.0,24,223888.0
QTT_Int,15.0,2.0,27,223888.0
QTT_Int,15.0,2.0,30,223888.0
QTT_Int,15.0,5.0,3,208912.0
QTT_Int,15.0,5.0,6,223888.0
QTT_Int,15.0,5.0,9,223888.0
QTT_Int,15.0,5.0,12,223888.0
QTT_Int,15.0,5.0,15,223888.0
QTT_Int,15.0,5.0,18,223888.0
QTT_Int,15.0,5.0,21,223888.0
QTT_Int,15.0,5.0,24,223888.0
QTT_Int,15.0,5.0,27,223888.0
QTT_Int,15.0,5.0,30,223888.0
QTT_Int,15.0,10.0,3,206416.0
QTT_Int,15.0,10.0,6,220560.0
QTT_Int,15.0,10.0,9,220560.0
QTT_Int,15.0,10.0,12,220560.0
QTT_Int,15.0,10.0,15,220560.0
QTT_Int,15.0,10.0,18,220560.0
QTT_Int,15.0,10.0,21,220560.0
QTT_Int,15.0,10.0,24,220560.0
QTT_Int,15.0,10.0,27,220560.0
QTT_Int,15.0,10.0,30,220560.0
QTT_Int,30.0,0.5,3,208912.0
QTT_Int,30.0,0.5,6,223888.0
QTT_Int,30.0,0.5,9,223888.0
QTT_Int,30.0,0.5,12,223888.0
QTT_Int,30.0,0.5,15,223888.0
QTT_Int,30.0,0.5,18,223888.0
QTT_Int,30.0,0.5,21,223888.0
QTT_Int,30.0,0.5,24,223888.0
QTT_Int,30.0,0.5,27,223888.0
QTT_Int,30.0,0.5,30,223888.0
QTT_Int,30.0,2.0,3,208912.0
QTT_Int,30.0,2.0,6,223888.0
QTT_Int,30.0,2.0,9,223888.0
QTT_Int,30.0,2.0,12,223888.0
QTT_Int,30.0,2.0,15,223888.0
QTT_Int,30.0,2.0,18,223888.0
QTT_Int,30.0,2.0,21,223888.0
QTT_Int,30.0,2.0,24,223888.0
QTT_Int,30.0,2.0,27,223888.0
QTT_Int,30.0,2.0,30,223888.0
QTT_Int,30.0,5.0,3,206416.0
QTT_Int,30.0,5.0,6,220560.0
QTT_Int,30.0,5.0,9,220560.0
QTT_Int,30.0,5.0,12,220560.0
QTT_Int,30.0,5.0,15,220560.0
QTT_Int,30.0,5.0,18,220560.0
QTT_Int,30.0,5.0,21,220560.0
QTT_Int,30.0,5.0,24,220560.0
QTT_Int,30.0,5.0,27,220560.0
QTT_Int,30.0,5.0,30,220560.0
QTT_Int,30.0,10.0,3,203920.0
QTT_Int,30.0,10.0,6,217232.0
QTT_Int,30.0,10.0,9,217232.0
QTT_Int,30.0,10.0,12,217232.0
QTT_Int,30.0,10.0,15,217232.0
QTT_Int,30.0,10.0,18,217232.0
QTT_Int,30.0,10.0,21,217232.0
QTT_Int,30.0,10.0,24,217232.0
QTT_Int,30.0,10.0,27,217232.0
QTT_Int,30.0,10.0,30,217232.0
ITTN,1.0,0.5,3,197648.0
ITTN,1.0,0.5,6,197648.0
ITTN,1.0,0.5,9,197648.0
ITTN,1.0,0.5,12,197648.0
ITTN,1.0,0.5,15,197648.0
ITTN,1.0,0.5,18,197648.0
