topo,A,B,maxbond,value
BTTN,5.0,5.0,21,0.006189508629846336
BTTN,5.0,5.0,24,0.008907551208172758
BTTN,5.0,5.0,27,0.006504564217031852
BTTN,5.0,5.0,30,0.007178329163525504
BTTN,5.0,10.0,3,0.03598821915935914
BTTN,5.0,10.0,6,0.02500774512472163
BTTN,5.0,10.0,9,0.029613580261575522
BTTN,5.0,10.0,12,0.024171975497730237
BTTN,5.0,10.0,15,0.022302087563795443
BTTN,5.0,10.0,18,0.01815541298854602
BTTN,5.0,10.0,21,0.014946665650027635
BTTN,5.0,10.0,24,0.014610173312239242
BTTN,5.0,10.0,27,0.006690719404675992
BTTN,5.0,10.0,30,0.006005302585572074
BTTN,15.0,0.5,3,0.12211744404387342
BTTN,15.0,0.5,6,0.045440902912319295
BTTN,15.0,0.5,9,0.017368428600506962
BTTN,15.0,0.5,12,0.0122943427789379
BTTN,15.0,0.5,15,0.00828489600041859
BTTN,15.0,0.5,18,0.004810008073550091
BTTN,15.0,0.5,21,0.003965267391403198
BTTN,15.0,0.5,24,0.003239071259355662
BTTN,15.0,0.5,27,0.0019483478542473155
BTTN,15.0,0.5,30,0.0014745209390486143
BTTN,15.0,2.0,3,0.05183256572908222
BTTN,15.0,2.0,6,0.05667118835273881
BTTN,15.0,2.0,9,0.0353264114964178
BTTN,15.0,2.0,12,0.02810927512005024
BTTN,15.0,2.0,15,0.019949846311901373
BTTN,15.0,2.0,18,0.009457811115582018
BTTN,15.0,2.0,21,0.01306986250622407
BTTN,15.0,2.0,24,0.010872508861615202
BTTN,15.0,2.0,27,0.005714426750976225
BTTN,15.0,2.0,30,0.005743616484698496
BTTN,15.0,5.0,3,0.025380346910329296
BTTN,15.0,5.0,6,0.020720936614842683
BTTN,15.0,5.0,9,0.023183058440388433
BTTN,15.0,5.0,12,0.01406460928773369
BTTN,15.0,5.0,15,0.018992419192707596
BTTN,15.0,5.0,18,0.011292799742006612
BTTN,15.0,5.0,21,0.01217724750240501
BTTN,15.0,5.0,24,0.015664289177633583
BTTN,15.0,5.0,27,0.010386950917278794
BTTN,15.0,5.0,30,0.00869125797386837
BTTN,15.0,10.0,3,0.014495015624368526
BTTN,15.0,10.0,6,0.013943783147087318
BTTN,15.0,10.0,9,0.013728849710534069
BTTN,15.0,10.0,12,0.011001745549378104
BTTN,15.0,10.0,15,0.011275068423240765
BTTN,15.0,10.0,18,0.009789172819051752
BTTN,15.0,10.0,21,0.01010860568390014
BTTN,15.0,10.0,24,0.01883225866236512
BTTN,15.0,10.0,27,0.012434218786476766
BTTN,15.0,10.0,30,0.01660841160807389
BTTN,30.0,0.5,3,0.10240080542877482
BTTN,30.0,0.5,6,0.05524899824273348
BTTN,30.0,0.5,9,0.029107884409716078
BTTN,30.0,0.5,12,0.023946681469930644
BTTN,30.0,0.5,15,0.014740980126609404
BTTN,30.0,0.5,18,0.010094220642327775
BTTN,30.0,0.5,21,0.006773606025776018
BTTN,30.0,0.5,24,0.006262771927659734
BTTN,30.0,0.5,27,0.004824612768195361
BTTN,30.0,0.5,30,0.0036257502914945144
BTTN,30.0,2.0,3,0.031633167046730394
BTTN,30.0,2.0,6,0.03521470167468078
BTTN,30.0,2.0,9,0.02484808281818384
