gf_name,topology,T,eta,maxbond,error_l1,mem_bytes
gk,QTT,50.0,1.0,80,0.0007166756574795195,2147992
gk,ITTN,50.0,1.0,80,0.05961627250609481,5474072
gk,CTTN,50.0,1.0,80,2.3982164039973715e-9,1783496
gk,QTT,50.0,1.0,100,5.514694128711801e-5,2209656
gk,ITTN,50.0,1.0,100,0.06252826140375771,6614200
gk,CTTN,50.0,1.0,100,6.385126019924733e-10,1808424
gk,QTT,50.0,1.0,120,1.610061767397172e-6,2264760
gk,ITTN,50.0,1.0,120,0.0622766309710982,7683480
gk,CTTN,50.0,1.0,120,8.085881643898134e-10,1796616
gk,QTT,50.0,1.0,140,8.964663390946087e-10,2298136
gk,ITTN,50.0,1.0,140,0.0686958495647362,8749400
gk,CTTN,50.0,1.0,140,6.501813380778846e-10,1805800
gk,QTT,50.0,1.0,160,9.639215825440818e-10,2292888
gk,ITTN,50.0,1.0,160,0.056296607669338826,9564152
gk,CTTN,50.0,1.0,160,6.045654483455438e-10,1801864
gk,QTT,50.0,1.0,180,8.929821612843105e-10,2286328
gk,ITTN,50.0,1.0,180,0.06581136895092377,10697720
gk,CTTN,50.0,1.0,180,7.160523113128693e-10,1800552
gk,QTT,50.0,1.0,200,7.450289713263875e-10,2281080
gk,ITTN,50.0,1.0,200,0.056298701717069674,11626616
gk,CTTN,50.0,1.0,200,7.030007505617575e-10,1804488
gk,QTT,100.0,0.001,20,0.853500064738847,1172376
gk,ITTN,100.0,0.001,20,1.7073009191233302,1686840
gk,CTTN,100.0,0.001,20,0.6771316027696964,1108328
gk,QTT,100.0,0.001,40,1.2015738090295782,1514296
gk,ITTN,100.0,0.001,40,1.3667614334137923,2800216
gk,CTTN,100.0,0.001,40,0.22694570361252384,1330856
gk,QTT,100.0,0.001,60,0.662136544753616,1760952
gk,ITTN,100.0,0.001,60,0.6064756630455279,3975768
gk,CTTN,100.0,0.001,60,0.12704279025408308,1464680
gk,QTT,100.0,0.001,80,0.5825174951701885,1932824
gk,ITTN,100.0,0.001,80,0.23529295339209344,5064728
gk,CTTN,100.0,0.001,80,0.024158404786913834,1553896
gk,QTT,100.0,0.001,100,0.36813989080029064,2100760
gk,ITTN,100.0,0.001,100,0.07544315825488726,6224536
gk,CTTN,100.0,0.001,100,0.010836610596828774,1647048
gk,QTT,100.0,0.001,120,0.11402071432951509,2217528
gk,ITTN,100.0,0.001,120,0.004058366033928176,7329240
gk,CTTN,100.0,0.001,120,5.2287302062486775e-5,1704776
gk,QTT,100.0,0.001,140,0.03267251859527939,2316504
gk,ITTN,100.0,0.001,140,0.0002209592754689168,8414840
gk,CTTN,100.0,0.001,140,4.883077987963287e-7,1732904
gk,QTT,100.0,0.001,160,0.0014269029728706279,2379480
gk,ITTN,100.0,0.001,160,0.00013959562369961895,9489368
gk,CTTN,100.0,0.001,160,2.866579625345322e-9,1777512
gk,QTT,100.0,0.001,180,1.851819792446697e-5,2429336
gk,ITTN,100.0,0.001,180,0.00011538689130499258,10399896
gk,CTTN,100.0,0.001,180,1.897341631000296e-9,1798504
gk,QTT,100.0,0.001,200,6.459584341167579e-8,2451640
gk,ITTN,100.0,0.001,200,7.31778624621505e-5,11515096
gk,CTTN,100.0,0.001,200,2.442934716551611e-9,1795880
gk,QTT,100.0,0.01,20,0.68690723506766,1201240
gk,ITTN,100.0,0.01,20,1.1003098297219094,1690776
gk,CTTN,100.0,0.01,20,0.4101579535217265,1139816
gk,QTT,100.0,0.01,40,0.6277777153772701,1536600
gk,ITTN,100.0,0.01,40,0.6214380174127578,2843512
gk,CTTN,100.0,0.01,40,0.10944434627474857,1367592
gk,QTT,100.0,0.01,60,0.5546216264277636,1797688
gk,ITTN,100.0,0.01,60,0.33713960054482495,4101720
gk,CTTN,100.0,0.01,60,0.07708669816662414,1509288
gk,QTT,100.0,0.01,80,0.29690836297544515,1990552
gk,ITTN,100.0,0.01,80,0.10867104322933199,5176248
gk,CTTN,100.0,0.01,80,0.009507321887256915,1606376
gk,QTT,100.0,0.01,100,0.16197010544315085,2149304
gk,ITTN,100.0,0.01,100,0.025494458540993567,6280952
gk,CTTN,100.0,0.01,100,0.0009036196143716672,1696904
gk,QTT,100.0,0.01,120,0.03389198722712907,2276568
gk,ITTN,100.0,0.01,120,0.005417891657092215,7463064
gk,CTTN,100.0,0.01,120,4.199861048561026e-5,1757256
gk,QTT,100.0,0.01,140,0.005324870534452697,2361112
gk,ITTN,100.0,0.01,140,0.002659759616430551,8531608
gk,CTTN,100.0,0.01,140,3.001473481718505e-7,1793256
gk,QTT,100.0,0.01,160,0.0002739635604373064,2435896
gk,ITTN,100.0,0.01,160,0.002156065751418727,9465752
gk,CTTN,100.0,0.01,160,3.082549471422634e-9,1828680
gk,QTT,100.0,0.01,180,1.3168340910210841e-5,2475256
gk,ITTN,100.0,0.01,180,0.002138346816796473,10510104
gk,CTTN,100.0,0.01,180,1.4591166810618852e-9,1847048
gk,QTT,100.0,0.01,200,1.9632000251265647e-8,2509368
gk,ITTN,100.0,0.01,200,0.0017799783306781686,11353720
gk,CTTN,100.0,0.01,200,1.3407958279120166e-9,1850984
gk,QTT,100.0,0.1,20,0.3019717504718181,1223544
gk,ITTN,100.0,0.1,20,0.27295537792040564,1709144
gk,CTTN,100.0,0.1,20,0.052564282535853296,1122760
gk,QTT,100.0,0.1,40,0.2625157918195268,1577272
gk,ITTN,100.0,0.1,40,0.14968214115265258,2910424
gk,CTTN,100.0,0.1,40,0.012792035245515282,1406952
gk,QTT,100.0,0.1,60,0.09521665021088524,1852792
gk,ITTN,100.0,0.1,60,0.06586443924068944,4122712
gk,CTTN,100.0,0.1,60,0.0009856780292878359,1551272
gk,QTT,100.0,0.1,80,0.038186754874824126,2040408
gk,ITTN,100.0,0.1,80,0.08573989991270826,5355992
gk,CTTN,100.0,0.1,80,4.276404343190318e-5,1668040
gk,QTT,100.0,0.1,100,0.011796864671120554,2186040
gk,ITTN,100.0,0.1,100,0.026263901471258413,6412152
gk,CTTN,100.0,0.1,100,1.5543400752342333e-6,1750696
gk,QTT,100.0,0.1,120,0.0008978326559780771,2304120
gk,ITTN,100.0,0.1,120,0.027856822984666636,7642808
gk,CTTN,100.0,0.1,120,2.5852363029428656e-8,1793992
gk,QTT,100.0,0.1,140,4.268742084821156e-6,2386040
gk,ITTN,100.0,0.1,140,0.019693748603049083,8687736
gk,CTTN,100.0,0.1,140,9.269932607217276e-10,1837864
gk,QTT,100.0,0.1,160,8.250519021718394e-8,2428024
gk,ITTN,100.0,0.1,160,0.01450116942326658,9495928
gk,CTTN,100.0,0.1,160,8.2562655608362e-10,1841800
gk,QTT,100.0,0.1,180,1.6878231990048493e-9,2451640
gk,ITTN,100.0,0.1,180,0.014953892133227967,10575704
gk,CTTN,100.0,0.1,180,8.100040311213052e-10,1845736
gk,QTT,100.0,0.1,200,1.1043104563659192e-9,2464760
gk,ITTN,100.0,0.1,200,0.012941245212696092,11439000
gk,CTTN,100.0,0.1,200,1.0719974175568893e-9,1844424
gk,QTT,100.0,0.0,20,1.6830426898193729,1016248
gk,ITTN,100.0,0.0,20,25.602982352925263,1533336
gk,CTTN,100.0,0.0,20,1.1045889058098597,949576
gk,QTT,100.0,0.0,40,2.0672597155010175,1291256
