topo,eta,time,maxbond,bytes
QTT_Alt,0.1,10.0,50,2.125688e6
QTT_Alt,0.1,10.0,100,3.046712e6
QTT_Alt,0.1,10.0,150,3.751832e6
QTT_Alt,0.1,10.0,200,4.350104e6
QTT_Alt,0.1,10.0,250,4.777816e6
QTT_Alt,0.1,10.0,300,5.15436e6
QTT_Alt,0.1,50.0,20,1.445272e6
QTT_Alt,0.1,50.0,50,2.42876e6
QTT_Alt,0.1,50.0,100,3.643672e6
QTT_Alt,0.1,50.0,150,4.654488e6
QTT_Alt,0.1,50.0,200,5.568952e6
QTT_Alt,0.1,50.0,250,6.369272e6
QTT_Alt,0.1,50.0,300,7.07644e6
QTT_Alt,0.1,100.0,20,1.488568e6
QTT_Alt,0.1,100.0,50,2.54684e6
QTT_Alt,0.1,100.0,100,3.902136e6
QTT_Alt,0.1,100.0,150,5.032344e6
QTT_Alt,0.1,100.0,200,6.081944e6
QTT_Alt,0.1,100.0,250,7.012152e6
QTT_Alt,0.1,100.0,300,7.864952e6
QTT_Alt,0.1,200.0,20,1.527928e6
QTT_Alt,0.1,200.0,50,2.653112e6
QTT_Alt,0.1,200.0,100,4.14092e6
QTT_Alt,0.1,200.0,150,5.412824e6
QTT_Alt,0.1,200.0,200,6.591e6
QTT_Alt,0.1,200.0,250,7.665528e6
QTT_Alt,0.1,200.0,300,8.65084e6
QTT_Alt,0.0,10.0,20,1.228792e6
QTT_Alt,0.0,10.0,50,1.915768e6
QTT_Alt,0.0,10.0,100,2.7502e6
QTT_Alt,0.0,10.0,150,3.393656e6
QTT_Alt,0.0,10.0,200,3.885656e6
QTT_Alt,0.0,10.0,250,4.285816e6
QTT_Alt,0.0,10.0,300,4.587576e6
QTT_Alt,0.0,50.0,20,1.329816e6
QTT_Alt,0.0,50.0,50,2.207032e6
QTT_Alt,0.0,50.0,100,3.341912e6
QTT_Alt,0.0,50.0,150,4.295e6
QTT_Alt,0.0,50.0,200,5.113688e6
QTT_Alt,0.0,50.0,250,5.809048e6
QTT_Alt,0.0,50.0,300,6.429624e6
QTT_Alt,0.0,100.0,20,1.37836e6
QTT_Alt,0.0,100.0,50,2.331672e6
QTT_Alt,0.0,100.0,100,3.587256e6
QTT_Alt,0.0,100.0,150,4.679416e6
QTT_Alt,0.0,100.0,200,5.627992e6
QTT_Alt,0.0,100.0,250,6.467672e6
QTT_Alt,0.0,100.0,300,7.216824e6
QTT_Alt,0.0,200.0,20,1.422968e6
QTT_Alt,0.0,200.0,50,2.452376e6
QTT_Alt,0.0,200.0,100,3.848344e6
QTT_Alt,0.0,200.0,150,5.065144e6
QTT_Alt,0.0,200.0,200,6.146232e6
QTT_Alt,0.0,200.0,250,7.10268e6
QTT_Alt,0.0,200.0,300,7.997464e6
QTT_Alt,1.0,10.0,20,1.387544e6
QTT_Alt,1.0,10.0,50,2.221464e6
QTT_Alt,1.0,10.0,100,3.240888e6
QTT_Alt,1.0,10.0,150,4.022104e6
QTT_Alt,1.0,10.0,200,4.69516e6
QTT_Alt,1.0,10.0,250,5.229144e6
QTT_Alt,1.0,10.0,300,5.64636e6
QTT_Alt,1.0,50.0,20,1.482008e6
QTT_Alt,1.0,50.0,50,2.50092e6
QTT_Alt,1.0,50.0,100,3.803736e6
