topo,eta,time,maxbond,value
QTT_Alt,0.01,50.0,250,0.002455340237443616
QTT_Alt,0.01,50.0,300,0.0008235879351199101
QTT_Alt,0.01,100.0,20,0.6866409680593708
QTT_Alt,0.01,100.0,50,0.43647665211407977
QTT_Alt,0.01,100.0,100,0.1126863904229607
QTT_Alt,0.01,100.0,150,0.04375008585236908
QTT_Alt,0.01,100.0,200,0.027191495963606607
QTT_Alt,0.01,100.0,250,0.012160921545010353
QTT_Alt,0.01,100.0,300,0.005258992414774655
QTT_Alt,0.01,200.0,20,1.166722281645915
QTT_Alt,0.01,200.0,50,0.6121250342757621
QTT_Alt,0.01,200.0,100,0.4217637231270267
QTT_Alt,0.01,200.0,150,0.22140805360164267
QTT_Alt,0.01,200.0,200,0.09707698095585686
QTT_Alt,0.01,200.0,250,0.05455736718814573
QTT_Alt,0.01,200.0,300,0.03863872155464373
QTT_Alt,0.1,10.0,20,0.724016465396615
QTT_Alt,0.1,10.0,50,0.22372525515275865
QTT_Alt,0.1,10.0,100,0.011199615188884453
QTT_Alt,0.1,10.0,150,0.0007743360205292203
QTT_Alt,0.1,10.0,200,8.315436506887762e-5
QTT_Alt,0.1,10.0,250,9.891839891798248e-6
QTT_Alt,0.1,10.0,300,1.4643073792613438e-6
QTT_Alt,0.1,50.0,20,0.4138851426824983
QTT_Alt,0.1,50.0,50,0.25022657277826105
QTT_Alt,0.1,50.0,100,0.059661945990415244
QTT_Alt,0.1,50.0,150,0.016476370124344077
QTT_Alt,0.1,50.0,200,0.006937291741937755
QTT_Alt,0.1,50.0,250,0.0025304637846421275
QTT_Alt,0.1,50.0,300,0.0012064077351490311
QTT_Alt,0.1,100.0,20,0.4058643252334061
QTT_Alt,0.1,100.0,50,0.4396827584989797
QTT_Alt,0.1,100.0,100,0.14590865072136106
QTT_Alt,0.1,100.0,150,0.0522023740951101
QTT_Alt,0.1,100.0,200,0.02795898192815473
QTT_Alt,0.1,100.0,250,0.013972501994470442
QTT_Alt,0.1,100.0,300,0.007687921656466157
QTT_Alt,0.1,200.0,20,0.28359601843443816
QTT_Alt,0.1,200.0,50,0.835135535197811
QTT_Alt,0.1,200.0,100,0.37764994418426373
QTT_Alt,0.1,200.0,150,0.18329335170148692
QTT_Alt,0.1,200.0,200,0.14466419042180872
QTT_Alt,0.1,200.0,250,0.07754623586615512
QTT_Alt,0.1,200.0,300,0.049560473875250574
QTT_Alt,0.0,10.0,20,1.5497730427237364
QTT_Alt,0.0,10.0,50,0.4102387046038174
QTT_Alt,0.0,10.0,100,0.018517514715363715
QTT_Alt,0.0,10.0,150,0.000999191598113307
QTT_Alt,0.0,10.0,200,5.7834057995527396e-5
QTT_Alt,0.0,10.0,250,4.763062410113987e-6
QTT_Alt,0.0,10.0,300,3.8390067458469954e-7
QTT_Alt,0.0,50.0,20,1.3572787165827245
QTT_Alt,0.0,50.0,50,0.46826938294552467
QTT_Alt,0.0,50.0,100,0.018426737749409356
QTT_Alt,0.0,50.0,150,0.001245162665431843
QTT_Alt,0.0,50.0,200,0.00013928360902540395
QTT_Alt,0.0,50.0,250,1.3971552985214989e-5
QTT_Alt,0.0,50.0,300,1.8409010620142832e-6
QTT_Alt,0.0,100.0,20,2.3280751145048
QTT_Alt,0.0,100.0,50,0.5232393311767097
QTT_Alt,0.0,100.0,100,0.06220444726418882
QTT_Alt,0.0,100.0,150,0.005754061974941923
QTT_Alt,0.0,100.0,200,0.001088333102734499
QTT_Alt,0.0,100.0,250,0.00010945510407366307
QTT_Alt,0.0,100.0,300,1.6236386232217763e-5
QTT_Alt,0.0,200.0,20,6.924467792902879
QTT_Alt,0.0,200.0,50,1.7660350026256468
QTT_Alt,0.0,200.0,100,0.3482874291603806
QTT_Alt,0.0,200.0,150,0.06041844351350682
QTT_Alt,0.0,200.0,200,0.01088273687385372
QTT_Alt,0.0,200.0,250,0.0016702568629716958
QTT_Alt,0.0,200.0,300,0.00024694105444178016
QTT_Alt,1.0,10.0,20,0.2950158890045525
QTT_Alt,1.0,10.0,50,0.10515394133413974
QTT_Alt,1.0,10.0,100,0.007256353768281673
QTT_Alt,1.0,10.0,150,0.0006168882037898988
QTT_Alt,1.0,10.0,200,8.713899415990459e-5
QTT_Alt,1.0,10.0,250,1.3815413464224347e-5
QTT_Alt,1.0,10.0,300,2.159244280635843e-6
QTT_Alt,1.0,50.0,20,0.16365028019574643
QTT_Alt,1.0,50.0,50,0.11549633406624162
QTT_Alt,1.0,50.0,100,0.029225291006054973
QTT_Alt,1.0,50.0,150,0.008564037287161937
QTT_Alt,1.0,50.0,200,0.0032063269807870234
QTT_Alt,1.0,50.0,250,0.0013218267733509548
QTT_Alt,1.0,50.0,300,0.0005125279892591526
QTT_Alt,1.0,100.0,20,0.2562251254486747
QTT_Alt,1.0,100.0,50,0.15785038290931294
QTT_Alt,1.0,100.0,100,0.051736468961850884
QTT_Alt,1.0,100.0,150,0.027748801355700264
QTT_Alt,1.0,100.0,200,0.012910282822382685
QTT_Alt,1.0,100.0,250,0.006574564404995368
QTT_Alt,1.0,100.0,300,0.003839817119724267
